H|Hydrogen|1
He|Helium|1
Li|Lithium|1
Be|Beryllium|1
B|Boron|1
C|Carbon|1
N|Nitrogen|1
O|Oxygen|1
F|Fluorine|1
Ne|Neon|1
Na|Sodium|1
Mg|Magnesium|1
Al|Aluminum|1
Si|Silicon|1
P|Phosphorus|1
S|Sulfur|1
Cl|Chlorine|1
Ar|Argon|1
K|Potassium|1
Ca|Calcium|1
Sc|Scandium|1
Ti|Titanium|1
V|Vanadium|1
Cr|Chromium|1
Mn|Manganese|1
Fe|Iron|1
Co|Cobalt|1
Ni|Nickel|1
Cu|Copper|1
Zn|Zinc|1
Ga|Gallium|1
Ge|Germanium|1
As|Arsenic|1
Se|Selenium|1
Br|Bromine|1
Kr|Krypton|1
Rb|Rubidium|1
Sr|Strontium|1
Y|Yttrium|1
Zr|Zirconium|1
Nb|Niobium|1
Mo|Molybdenum|1
Tc|Technetium|1
Ru|Ruthenium|1
Rh|Rhodium|1
Pd|Palladium|1
Ag|Silver|1
Cd|Cadmium|1
In|Indium|1
Sn|Tin|1
Sb|Antimony|1
Te|Tellurium|1
I|Iodine|1
Xe|Xenon|1
Cs|Cesium|1
Ba|Barium|1
La|Lanthanum|1
Ce|Cerium|1
Pr|Praseodymium|1
Nd|Neodymium|1
Pm|Promethium|1
Sm|Samarium|1
Eu|Europium|1
Gd|Gadolinium|1
Tb|Terbium|1
Dy|Dysprosium|1
Ho|Holmium|1
Er|Erbium|1
Tm|Thulium|1
Yb|Ytterbium|1
Lu|Lutetium|1
Hf|Hafnium|1
Ta|Tantalum|1
W|Tungsten|1
Re|Rhenium|1
Os|Osmium|1
Ir|Iridium|1
Pt|Platinum|1
Au|Gold|1
Hg|Mercury|1
Tl|Thallium|1
Pb|Lead|1
Bi|Bismuth|1
Po|Polonium|1
At|Astatine|1
Rn|Radon|1
Fr|Francium|1
Ra|Radium|1
Ac|Actinium|1
Th|Thorium|1
Pa|Protactinium|1
U|Uranium|1
Np|Neptunium|1
Pu|Plutonium|1
Am|Americium|1
Cm|Curium|1
Bk|Berkelium|1
Cf|Californium|1
Es|Einsteinium|1
Fm|Fermium|1
Md|Mendelevium|1
No|Nobelium|1
Lr|Lawrencium|1
Rf|Rutherfordium|1
Db|Dubnium|1
Sg|Seaborgium|1
Bh|Bohrium|1
Hs|Hassium|1
Mt|Meitnerium|1
Ds|Darmstadtium|1
Rg|Roentgenium|1
Cn|Copernicium|1
Nh|Nihonium|1
Fl|Flerovium|1
Mc|Moscovium|1
Lv|Livermorium|1
Ts|Tennessine|1
Og|Oganesson|1
